Provincia,Comune,Grado Scolastico,Descrizione Scuola,Cod Sede,Cod Scuola,Denominazione Scuola,Indirizzo e n. civico,C.A.P.,Comunita Collinare,Comunita Montana
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011084,ALMM082004,A. VOCHIERI,PIAZZA M. D'AZEGLIO 15,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011085,ALMM815019,PAOLO STRANEO,VIA P. SACCO 11,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011086,ALMM817011,G. MAZZINI,VIA GRASSANO 12,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011087,ALMM817011,VITTORIO ALFIERI,PIAZZA MAINO 6/8,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011088,ALMM82501X,A. VIVALDI,VIA PARMA 1,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011089,AL1M00800P,SAN GIOVANNI BOSCO,VIA GALVANI 3,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011090,ALMM815019,P. STRANEO - SUCCURSALE,VIA PIETRO NENNI 72/B,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011091,AL1M01000P,CENTRO STUDI ALEXANDRIA,VIA DON ORIONE 1,15100,,
AL,ALESSANDRIA,4,EX ISTITUTO E SCUOLA MAGISTRALE,60011092,ALPM01601Q,D. R. SALUZZO,VIA FAA' DI BRUNO 85,15100,,
AL,ALESSANDRIA,4,IST. PROF. IND. E ARTIG.,60011093,ALRI01000X,ENRICO FERMI,VIA MORBELLI 33,15100,,
AL,ALESSANDRIA,4,IST. PROF. SANITARIO E AUSILIARIO,60011094,ALRI01000X,ENRICO FERMI,VIA MORBELLI 33,15100,,
AL,ALESSANDRIA,4,IST. PROF. SANITARIO E AUSILIARIO,60011095,0,E. FERMI C/O CARCERE,0,15100,,
AL,ALESSANDRIA,4,IST. PROF. SERV. COMM. TURIS. PUBBL.,60011096,ALRC00601L,G. MIGLIARA,VIA PLANA 42,15121,,
AL,ALESSANDRIA,4,IST. TECNICO COMMERCIALE,60011097,ALTD00601X,L. DA VINCI,VIA TROTTI 19,15121,,
AL,ALESSANDRIA,4,IST. TECNICO COMMERCIALE,60011098,ALTD00652A,L. DA VINCI,VIA PLANA 42,15121,,
AL,ALESSANDRIA,4,IST. TECNICO PER GEOMETRI,60011099,ALTL010001,P. L. NERVI,SPALTO BORGOGLIO 77,15100,,
AL,ALESSANDRIA,4,IST. TECNICO PER GEOMETRI,60011100,ALTL010012,C/O CASA DI PENA,VIA CASALE 50/A,15100,,
AL,ALESSANDRIA,4,I. T. INDUSTRIALE/I.T. SETT TECNOLOGICO,60011101,ALTF01000R,A. VOLTA,SPALTO MARENGO 42,15100,,
AL,ALESSANDRIA,4,LICEO CLASSICO,60011102,ALPC01601G,GIOVANNI PLANA,PIAZZA MATTEOTTI 29,15100,,
AL,ALESSANDRIA,4,LICEO SCIENTIFICO,60011103,ALPS01000P,G. GALILEI,SPALTO BORGOGLIO 49,15100,,
AL,ALESSANDRIA,4,LICEO SCIENTIFICO,60011104,ALPS01000P,G. GALILEI,VIA LUMELLI 22,15100,,
AL,ALESSANDRIA,4,LICEO SCIENTIFICO,60011105,ALPS005007,CENTRO STUDI ALEXANDRIA,VIA DON ORIONE 1,15100,,
AL,ALFIANO NATTA,2,SCUOLA PRIMARIA,60011106,ALEE811057,DI ALFIANO NATTA,VIA ALLA STAZIONE 1,15021,COLLI E CASTELLI DEL MONFERRATO,
AL,ALLUVIONI CAMBIO',1,SCUOLA D'INFANZIA,60011107,ALAA82003P,GLI AQUILONI,VIA GARIBALDI 18/20,15040,,
AL,ALLUVIONI CAMBIO',2,SCUOLA PRIMARIA,60011108,ALEE82002V,FRANCESCO MENSI,VIA BELLINGERI 46,15040,,
AL,ALTAVILLA MONFERRATO,1,SCUOLA D'INFANZIA,60011109,ALAA823036, ALTAVILLA MONFERRATO,VIALE UNITA' D'ITALIA 7,15041,,
AL,ARQUATA SCRIVIA,1,SCUOLA D'INFANZIA,60011110,AL1A01100B,G. AGUSTI,PIAZZA CADUTI 1,15061,,
AL,ARQUATA SCRIVIA,1,SCUOLA D'INFANZIA,60011111,ALAA81301D,MARRE',VIA REGONCA 20,15061,,
AL,ARQUATA SCRIVIA,2,SCUOLA PRIMARIA,60011112,ALEE81301P,G. PASCOLI,VIA REGONCA 20,15061,,
AL,ARQUATA SCRIVIA,3,SCUOLA SEC. I GRADO,60011113,ALMM81301N,L. DA VINCI,PIAZZA S. BERTELLI 19,15061,,
AL,BALZOLA,1,SCUOLA D'INFANZIA,60011114,ALAA017085,REGINA MARGHERITA,VIA PIAVE 11,15031,,
AL,BALZOLA,2,SCUOLA PRIMARIA,60011115,ALEE017013,E. DE AMICIS,VIA ROMA 75,15031,,
AL,BASALUZZO,1,SCUOLA D'INFANZIA,60011116,AL1A012007,PELUCCHI PALEARI,VIA DELL'ASILO 1,15060,,
AL,BASALUZZO,2,SCUOLA PRIMARIA,60011117,ALEE024016,G. MAZZINI,VIA SANTA MARIA 1,15060,,
